canonical_run_id,dataset,seed,variant,K,fidelity,standard_A_reusable,standard_B_reusable,exposure_provenance,task_matrix_sha256,source_path,reason_for_reuse
U00243,az_class,42,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,1c6f5beb2824d5857b94082685d68a8732dd2721977e7fefaeec39523f0c7d6b,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_42,authoritative exact V15.5 MAIN-K Full cell
U00363,az_class,43,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,34919e30e4a838e4bb14b4115deec4cb475247f342a56af6d0e19d9f2c8dff00,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_43,authoritative exact V15.5 MAIN-K Full cell
U00017,az_class,44,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,38eea6713a2d48e4d71609f4500b9b475b23ef636de8e36a75135097428418e6,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_44,authoritative exact V15.5 MAIN-K Full cell
U00334,az_class,45,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,2b362209ddb59f6d527dc17c2a1b77dec209779242a7d01c893b4ebf38fc8075,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_45,authoritative exact V15.5 MAIN-K Full cell
U00093,az_class,46,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,1b060433f66140bd346d4a222d06781885101b7f398b6a748715f5360b76c61c,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_46,authoritative exact V15.5 MAIN-K Full cell
U00380,az_class,47,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,838902c3812841a4177c15d5063f9ab4221694a8894039156c80a89d585ab788,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_47,authoritative exact V15.5 MAIN-K Full cell
U00036,az_class,48,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,376536093a1c5b5e331b8eec4d1ca7441d1a5e0124b1bf1d229b3d4243f0927a,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_48,authoritative exact V15.5 MAIN-K Full cell
U00354,az_class,49,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,931d0bc69840e453c19db712b005d9676ad71d959159cf3133c522ed6039399f,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_49,authoritative exact V15.5 MAIN-K Full cell
U00359,az_class,50,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,b3e05dc95a245e537f76b3e77aa7b5b9349989c140b9ddaefe3ecf96e7eafbc2,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_50,authoritative exact V15.5 MAIN-K Full cell
U00070,az_class,51,full_hybrid,200,EXACTLY_COMPATIBLE,yes,yes_as_native_target_schedule,EXACTLY_RECONSTRUCTED_FROM_RUNNER,0106138a6e30edfb2b75bd30cd7ba6d0c2f8bff1f90193841f1b626086f86a82,paper_ready/AHR_MalCL_HR_reproducibility_release_v15_5/historical_outputs/anchored_hr/az_class/seed_51,authoritative exact V15.5 MAIN-K Full cell
