dataset,seed,historical_raw_matrix_sha256,historical_normalized_matrix_sha256,final80_source_matrix_sha256,harmonized_matrix_sha256,valid_lower_triangle_cells,numerical_cell_by_cell_equality,max_abs_valid_cell_delta
ember,42,bebb5a2a8211ae76c2fcedc2c86098fbf6768e774c28393672b4f834d43f0240,a5427ee24fe51ebbabcf165d602bcd2b876e8133ec79991e4fba1441b5b58d50,bebb5a2a8211ae76c2fcedc2c86098fbf6768e774c28393672b4f834d43f0240,af4a7d1c0c9815d82cedcae5b212d57f39fcdcbca0ef350714efacbb3c69d333,66,true,0.0
ember,43,d5ea2ef43a130f1b7ad9a2780b92e94bb8a4abff72937d395ed9671095785284,e924ae8f007cec4141cddb733419701146a1e451ea2bbcf26d535fc4d47d04de,d5ea2ef43a130f1b7ad9a2780b92e94bb8a4abff72937d395ed9671095785284,41a46ede5ada55e93227b966482d5dee1d2d7f06819e786e51926a5765b91b9a,66,true,0.0
ember,44,a64e28356a2e4436dcda94f841e69d8e1c2a21229bf90445875aa9c070f7ad99,43232b91fbefcc3954a5e9d836540bccc19da0800d5c926d5b990778b82c37b0,a64e28356a2e4436dcda94f841e69d8e1c2a21229bf90445875aa9c070f7ad99,0d808a8e1f13d454cda18057b0812493252d1c1988792b25a16f5bea08a8a475,66,true,0.0
ember,45,ada0074ada5545185b165722a338593de05b9d14966697f701f726824ac336e2,fdfb04aa3bc14bf1dcfcc79a57bfd262dcce0ba558328c7080e1e074c0530aa5,ada0074ada5545185b165722a338593de05b9d14966697f701f726824ac336e2,1091ede26b9dd2b5182e2c3b0982031a95bf2f9b2e12e7720d3e30014e47a5ef,66,true,0.0
ember,46,b27867ebb543e69c2f00185f3590aef82e2da7721a0ef188d7be1f99cf1eb0de,1a74baa76046d6ac272dba269220f03205039ba379b32b348bcd5d2ff6b20937,b27867ebb543e69c2f00185f3590aef82e2da7721a0ef188d7be1f99cf1eb0de,19220c337ce51ec68e9bc4efde94ccd1173badce87da68647828ccc37b846c47,66,true,0.0
ember,47,23f41405055e21a463843666836aa5037423030d8b5ee038c7365cc276bc681c,e52ff057f731cb322a24bc4e74cd4b989795f981e3bfc02add7628b4cfa0c7f8,23f41405055e21a463843666836aa5037423030d8b5ee038c7365cc276bc681c,f0f748b93f10f8a763996792a29d14a211297ffd6ff7baf18e9f38606147bd41,66,true,0.0
ember,48,3525c537552fb6490a6f906e77b8b15b35d45202025851348c4b774f90fe8074,9cfe887328440efaba75ca3d12bd7c9a6164f2cc5aa9ad91b0177e6ee00989a1,3525c537552fb6490a6f906e77b8b15b35d45202025851348c4b774f90fe8074,b04de65e452bd9d88b59d0589059f1e8595cde2ad40341bd3da3df87e7661048,66,true,0.0
ember,49,28ff7e0915ff299ba811b7229a25a0ab46981e26e140cfc246ef6e46ad8904c4,f5ffa737091a30288d351a4eedc17eb5cfe0f0e2cad1fca9505a8d1b6745ce6e,28ff7e0915ff299ba811b7229a25a0ab46981e26e140cfc246ef6e46ad8904c4,11351e103dd7024b4ad6ef6a0060ae4ac9b1169897f4d51a52de79e28fa6e10c,66,true,0.0
ember,50,3968d844e58cdfcaad4c309bcc85f6ccd88584dfa53d6cc72d8db432ea62227c,e09448af9d704a49bd6ec7795b6dfcb10a07a375b585b8e3efb601047cfa5ed1,3968d844e58cdfcaad4c309bcc85f6ccd88584dfa53d6cc72d8db432ea62227c,73690471828a802dfa54a03305b107364276004ae7c799e0b01583773217ed1e,66,true,0.0
ember,51,bb4638b858e593250afe29830ff00cecbf36dff0b60f2c9f1384d1a61d5ef53f,2f2a6f46004e31b0d2581ff7b47138c4e0e2ac9f68eabc9007bd590ef155d653,bb4638b858e593250afe29830ff00cecbf36dff0b60f2c9f1384d1a61d5ef53f,a89d3a2a8792aab400a511114c1a083a0537710dfece227f2ba721ed3d64e55d,66,true,0.0
